,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,A_score,MagpieData mean Polarizability,MagpieData mean GSvolume_pa,MagpieData mean FirstIonizationEnergy,MagpieData mean MendeleevNumber,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NValence,MagpieData mean NpUnfilled,PymatgenData mean atomic_mass,DemlData mean row_num,DemlData mean col_num,DemlData mean molar_vol,MagpieData mean n_ws^third_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,PymatgenData mean X_A,MagpieData mean Polarizability_B,MagpieData mean GSvolume_pa_B,MagpieData mean FirstIonizationEnergy_B,MagpieData mean Density_B,MagpieData mean CovalentRadius_B,MagpieData mean NpValence_B,MagpieData mean Polarizability_interface,MagpieData mean NpValence_interface,MagpieData mean NdValence_interface,MagpieData mean NValence_interface,MagpieData mean NpUnfilled_interface,PymatgenData mean atomic_mass_interface,DemlData mean molar_vol_interface
workfunction,-0.07009127010856517,0.0717444009407331,0.09045296797326398,0.03605805730734147,-0.4067907249566938,-0.036391703592168465,0.1262542701717536,0.16787929419273648,-0.17942285202125186,0.04563876695280007,1.0,-0.5104838662904412,0.5508636665201009,0.31596126193606466,-0.023467648313083025,-0.11529601947202102,-0.16985411606646966,-0.0519998138002004,0.2485873734966436,0.25104246233356703,0.4204264378287615,0.164460950221989,0.4730535952823105,0.044072247897689605,0.21088995382951917,0.6006435458897342,-0.24184198512085997,0.3142829057281842,0.24830491943743896,0.06197714269983818,0.23260287244826156,0.26016394846655544,0.18046536272963762,0.13192940854729449,0.003904870878140158,0.07096667192841048,0.6199974794745531,0.4903144207246472,-0.06831742696453094,0.546014408109322,0.001261977884790081,0.4415097627992992,0.6779280818596708,0.0907746854417371,0.4651625349593629
efermi,0.1183337574241412,0.057075334290647796,0.09345313523015825,-0.16823036438079617,0.12757514225487762,-0.025024741204994216,0.5514030738004673,0.07809375332087676,-0.5115359867535474,0.16539343892832437,-0.5104838662904412,1.0,0.43645086245645626,0.05979447242231369,0.1078574455686854,0.13279166827037048,-0.11864850163963346,0.09334767110890828,-0.23387839012808134,-0.3761710661673138,0.03828034053133881,0.21657017407774787,0.016568181594858747,0.39192753281006276,0.30245592485787004,-0.35569504455415607,-0.033872079576028905,0.08398904679972892,0.054361920828272535,0.3770305451699772,0.1845175469237664,0.04418983041617118,0.16781832548465242,0.010558070561252282,-0.13120763491447635,0.08304684155384132,-0.05645861159521131,-0.4018406164605895,0.18296393230067587,-0.3551481052019219,0.23475073704095276,-0.02048951248823581,-0.3547797839047612,0.21679667264099567,-0.2488819354398616
evac,0.04151439951418444,0.13046506402256708,0.18534825779342343,-0.1255534427050632,-0.3018156305142502,-0.06236650568645665,0.6672884644033628,0.251454329872179,-0.684226015514856,0.20828200606563882,0.5508636665201009,0.43645086245645626,1.0,0.3886362717906537,0.08013004270808252,0.008247855910181387,-0.29288255132718,0.03619291480822609,0.03310579294454094,-0.10243275265505583,0.4770602533758523,0.38228098349789613,0.5110522270615866,0.42651389447978294,0.5142207318354931,0.2832399920225086,-0.28592292982324186,0.41036308621181267,0.31257247657713244,0.43078954981843753,0.4224702390430319,0.3151080684379769,0.3517090231565759,0.14828955639028102,-0.12326259751754415,0.15485890148584716,0.5939255572406983,0.12301075798781565,0.10609962022469045,0.22661059964409114,0.2291664017193977,0.44207918212561753,0.3649936566578798,0.30540048344918685,0.24515318945143363
A_score,0.0639886258459358,0.02582317995466974,0.01865629208316661,0.3572667781369588,-0.04361169182889168,0.00031568280649583915,0.19093946983906337,0.298565344383356,0.22405366570240223,0.5081319505833528,0.31596126193606466,0.05979447242231369,0.3886362717906537,1.0,0.7153833290527865,0.47667510727950474,-0.7366950232776569,-0.6581578683033553,0.2802232275296489,-0.5640416772331537,0.282386550007983,0.08809496845951191,0.15223990144682575,0.35654004746805135,0.7040731826552412,-0.31092307185830853,-0.11200998441701962,-0.01357328828931995,-0.06539731230696569,-0.004997556371283129,-0.016898172175543895,-0.021834343521757556,0.5873784819237948,0.34891816593982206,-0.11397467169449281,0.22051159034120285,0.8148920725747991,-0.037570349334212175,0.8381928834893356,-0.2845408143798121,0.7272381086957004,0.3724268330700351,-0.20338865909666654,0.7266374612542453,0.08556236108956965
MagpieData mean Polarizability,0.0967979178660047,-0.06971422032216402,-0.1412249230044412,0.2283094570117316,0.614957946399111,-0.04554813401595625,0.03262035476688079,0.05447867674338847,0.30388387359314445,0.08576219289835992,-0.023467648313083025,0.1078574455686854,0.08013004270808252,0.7153833290527865,1.0,0.8712045264904922,-0.6395559854712712,-0.8773120195809233,0.3557008497075128,-0.4415205976081762,-0.34963588051789957,-0.14259736912712812,0.1076290332789843,0.3261603310878932,0.6392965693599949,-0.49452529662238703,0.42720929382061196,-0.6234650126561513,-0.6166835450572343,-0.24458989895287275,-0.5470252815185648,-0.5231494069717472,0.45455403784197196,0.19934710100267883,-0.1291622886471891,0.20218862251055214,0.5747007259976546,-0.07962255993426649,0.7305073967528616,-0.2579903279793437,0.42559967850969826,0.15789235785836717,-0.23522986166142246,0.557403277861488,0.25719562175252875
MagpieData mean GSvolume_pa,0.05915855939092463,-0.11278027058890593,-0.16348843131699384,0.14526233200527353,0.6621990724224087,-0.08875190658206702,0.07278000714890812,-0.04352589637521855,0.29564385430200224,-0.19753418423377309,-0.11529601947202102,0.13279166827037048,0.008247855910181387,0.47667510727950474,0.8712045264904922,1.0,-0.25690237724182086,-0.7281466887928894,0.3676081802880063,-0.15672340310991018,-0.4710316371196525,-0.05822579225961882,-0.20461184685100617,0.3548145753790837,0.5574269527974605,-0.378505437916369,0.7473086667960226,-0.7034885776385778,-0.6056776800208041,-0.1749739235502261,-0.6086758110910019,-0.5552566545736001,0.007547523436484515,0.489242029917787,0.22808147993808395,-0.23320244242323876,0.27007814959342547,0.1412866296806795,0.5206720782399703,-0.16547094032870455,0.2149331569317789,0.1279807946651018,-0.16583212727626961,0.41865171409818014,0.25293047379403183
MagpieData mean FirstIonizationEnergy,-0.14153293133541422,0.013286186431823206,-0.04036071846417268,-0.39809072334279244,-0.1497672044514196,0.011088473261909206,-0.1447206412746873,-0.2751531197658295,-0.009191456063796132,-0.5982967737790411,-0.16985411606646966,-0.11864850163963346,-0.29288255132718,-0.7366950232776569,-0.6395559854712712,-0.25690237724182086,1.0,0.6082854940139945,-0.1302479450515121,0.8187545191757484,-0.10187837952448711,0.05227304419210802,-0.5746792698163349,-0.25625162002502166,-0.5216836666628001,0.5238295152900345,0.12969742254724193,0.10195794370129203,0.18389877980699734,0.046325845229025574,0.07181429722841946,0.17108807074464527,-0.8928372759770569,0.18691317850579092,0.7299420705164164,-0.6087910226152913,-0.7756447019061997,0.5418845447294194,-0.7213333627250453,0.4493034317577872,-0.5833312837076886,-0.12098925286754186,0.15593262275940614,-0.5566798570412204,-0.32793342120978297
MagpieData mean MendeleevNumber,-0.07103408193938099,0.08638650008678948,0.09059715559560472,-0.24440836353217807,-0.49782051528905763,0.0004836198383650733,0.17097589780400269,-0.14845404037681703,-0.3046881929390007,-0.14658318509143015,-0.0519998138002004,0.09334767110890828,0.03619291480822609,-0.6581578683033553,-0.8773120195809233,-0.7281466887928894,0.6082854940139945,1.0,-0.36206969187766086,0.42212752893591154,0.3559711325339586,0.27597200740597266,-0.13158272692673062,-0.05379559250994493,-0.3782999660528205,0.4715300727596286,-0.3729336004143776,0.6417308086125221,0.5526422531410009,0.4263050671140576,0.7339133039722343,0.4256510067234375,-0.4447836895409487,-0.16139985651357694,0.15448165667980265,-0.2100769733814992,-0.5447234975932816,0.09675477463890932,-0.6563911747942385,0.23001229084957547,-0.31768200735016217,-0.05032626798444667,0.1897328275542949,-0.39238687631869235,-0.2733654888403763
MagpieData mean NsValence,-0.0049370471588318626,0.0006969886574890772,-0.3809752677863637,-0.10286809519032389,0.19395899417152804,0.06366498617065224,0.06813022697562539,-0.06303521078591062,0.21144073392956167,-0.28813511754528354,0.2485873734966436,-0.23387839012808134,0.03310579294454094,0.2802232275296489,0.3557008497075128,0.3676081802880063,-0.1302479450515121,-0.36206969187766086,1.0,0.12826254047035068,-0.4263473480949261,0.1657747410851992,0.15112012640066172,0.20276328621867573,0.30136842318826995,0.09276354593955104,0.2028094718661217,-0.43627933608065755,-0.0431219563366074,-0.07044510351365901,-0.23460742424997705,-0.40837874395790025,0.11771339351178735,0.09051556652511278,0.07565032365366935,0.06769716816515166,0.3627300061223446,0.31828406545453963,0.15079187427649557,0.24015318436308103,-0.07946366610638533,0.30844347756834584,0.18646921424903878,0.17843241591394293,0.26743999116029504
MagpieData mean NpValence,-0.14091999518485518,-0.008053848323096406,-0.09763775228864834,-0.5108903293336878,-0.06258850662434759,-0.00298715490250188,-0.12479673376923059,-0.3389465145622833,-0.028145991587500686,-0.7520238817712864,0.25104246233356703,-0.3761710661673138,-0.10243275265505583,-0.5640416772331537,-0.4415205976081762,-0.15672340310991018,0.8187545191757484,0.42212752893591154,0.12826254047035068,1.0,-0.11966619892256782,0.0772945069042536,-0.18494037200892713,-0.1890775179932827,-0.3237668421728529,0.832685371442726,0.11624210024164006,0.027169758475094646,0.05740791832650975,-0.013192179830530304,0.01205132349836908,0.06699343078868569,-0.686612108979921,0.09379172320116207,0.6400480628149564,-0.40431826063109383,-0.35441918204637635,0.8393884146699893,-0.7404635334162728,0.8336545689494131,-0.640996002621503,0.10151921446534805,0.5585970470768684,-0.5346653957292857,0.021399633620497554
