,ID,class,formula,interface_atom,spacegroup,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean FirstIonizationEnergy,MagpieData mean CovalentRadius,MagpieData mean NValence,PymatgenData mean X,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean FirstIonizationEnergy_A,MagpieData mean Density_A,MagpieData mean MendeleevNumber_A,MagpieData mean CovalentRadius_A,MagpieData mean NsValence_A,MagpieData mean NValence_A,MagpieData mean NsUnfilled_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean Polarizability_interface,MagpieData mean NValence_interface
0,c67530987b37b5c77ea3c611ef5bcde9,TMDC-H,Hf1 Te2,Te1,187,8.700635010990423,0.4561639015562263,0.1333685658145675,3.909330474795616,-1.6985595068689522e-08,2.911021908889796,0.0,-16.00845184303981,-0.6975771310263781,5.331002070505048,-1.1352397496809503,4.195762320824097,9.066666666666666,8.281423333333334,150.33333333333334,16.666666666666668,1.8333333333333333,18.12,16.2,6.82507,13310.0,45.0,175.0,2.0,18.0,0.0,1.3,1.55,13.44,5.5,16.0
1,37d4f1e181a82336d67c2f8297a02b8f,TMDC-H,Fe1 Te2,Te1,187,11.42479936371817,0.5445239511441108,0.1675310720382299,3.5693842665987487,-6.3039404028566606e-09,2.5844102433866505,2.332957029391114,-15.528496984544422,-0.0257283151884948,4.288145874488231,0.0029046537358325,4.291050528224064,6.466666666666666,8.640533333333334,136.0,13.333333333333334,2.01,16.003333333333334,8.4,7.9024,7874.0,55.0,132.0,2.0,8.0,0.0,1.83,1.4,7.09,5.5,16.0
2,14da5ffffda361e37e2c4e3e74d9e09d,TMDC-H,Hg1 S2,S1,187,1.7958315711508324,0.2959891750996302,0.5744308782251769,4.311826780522356,-6.470037659400502e-10,1.577810798685784,0.2141117383780678,-7.711776146633571,0.4432535594540979,5.152501639965863,-2.697868261742338,2.454633378223524,3.72,10.38584,114.0,12.666666666666666,2.3866666666666667,15.05,5.36,10.4375,13534.0,71.0,132.0,2.0,26.0,0.0,2.0,1.5,14.09,2.9,6.0
3,566b17c34bcecdb705568bc731f2c967,TMDC-H,Te2 Mo1,Te1,187,9.468330635573816,0.4670058453172152,0.0,3.547392311830623,-3.2666151554846214e-14,2.874943335292905,0.0,-18.51337752553299,-0.3005233594690064,4.347418773378745,0.4068955604060499,4.754314333784795,7.933333333333334,8.370543333333334,143.33333333333334,12.666666666666666,2.12,16.76666666666667,12.8,7.09243,10280.0,50.0,154.0,1.0,6.0,1.0,2.16,1.45,9.38,5.5,16.0
4,67caea1963435ec5d0111261a9c023d8,TMDC-H,Nb1 Se2,Se1,187,5.152197810972264,0.4089944302188174,0.0009499913724487,3.4715297364547646,1.0361948157553622e-12,2.1741270509579054,2.69436751647069,-19.92425222704854,-0.8774122038581496,5.539298911009153,-1.228845122010548,4.310453788998605,7.746666666666666,8.754543333333332,134.66666666666666,12.333333333333334,2.233333333333333,14.556666666666668,15.7,6.75885,8570.0,47.0,164.0,1.0,5.0,1.0,1.6,1.45,10.83,3.77,16.0
5,546a5fd0345b27f2d78abe216bf60137,TMDC-H,Pd1 S2,S1,187,66.25193255661301,19.321126878020024,0.3498306639374663,3.914868737516866,3.082023296846945e-09,1.2488927116138449,0.2716534485414173,-11.816148291878752,0.0533385957168614,4.1619227105579775,-1.4273273904010628,2.7345953201569144,3.533333333333333,9.68564,116.33333333333331,7.333333333333333,2.4533333333333336,13.206666666666663,4.8,8.3369,12023.0,62.0,139.0,0.0,10.0,0.0,2.2,1.4,8.56,2.9,6.0
6,848409905463ee59034b4f473acca24c,TMDC-H,Rh1 Se2,Se1,187,42.4418177248432,0.7978541027335105,0.2830362675465121,3.558219943249534,3.746682902353642e-09,2.205256676307756,1.478313601398162,-14.57750782324424,-0.1548692708472341,4.69005920785014,-0.8736944793558783,3.816364728494261,5.38,8.987893333333334,127.33333333333331,13.666666666666666,2.4599999999999995,13.706666666666669,8.6,7.4589,12450.0,59.0,142.0,1.0,9.0,1.0,2.28,1.35,8.28,3.77,16.0
7,cc279f083f6a950bf879feb5b97f1ff8,TMDC-H,Ru1 Se2,Se1,187,37.81987967144006,0.430517565825912,0.310039431775858,3.4705190563428205,-8.245157876719464e-10,2.289790866116451,3.4200322254389897,-16.755788373727228,-0.1089904629468444,4.398395013804562,-0.3107074671563939,4.087687546648168,5.713333333333334,8.955093333333332,128.66666666666666,13.333333333333334,2.433333333333333,13.670000000000002,9.6,7.3605,12370.0,56.0,146.0,1.0,8.0,1.0,2.2,1.3,8.17,3.77,16.0
8,c02836e6f01cef6bafadbb1c80ad11e0,TMDC-H,Sn1 S2,S1,187,3.5612016959013326,0.3941461171293249,0.2864884934524353,3.610253644640313,1.2983267219756138e-14,1.475593015155504,0.0,-12.557525316341144,-0.1150411326754212,6.007216434534996,-2.2230164164105624,3.7842000181244337,4.286666666666666,9.354646666666667,116.33333333333331,8.666666666666666,2.373333333333333,15.783333333333331,7.06,7.34392,7310.0,80.0,139.0,2.0,14.0,0.0,1.96,1.45,16.29,2.9,6.0
9,4d35210e4d5dd94d06a6264ba8a8c4c9,TMDC-H,Ta1 S2,S1,187,3.6126817366057744,0.3639941507775808,0.0,3.340923605062307,-8.383032899735959e-11,2.3219549532413124,2.218543163856916,-21.23504371051308,-1.0874749610755654,5.929444478242765,-1.6301922469111367,4.299252231331628,6.3,9.423196666666668,126.66666666666669,10.333333333333334,2.22,13.97,13.1,7.54957,16650.0,48.0,170.0,2.0,19.0,0.0,1.5,1.45,10.85,2.9,6.0
